resolution,frame_no,pts,codec,source_width,source_height,decode_ms,push_block_ms,app_to_dec_ms,dec_to_conv_ms,conv_to_sink_ms,display_ms,frame_interval_ms,queue_depth,decoded_at
1920x1080,167,6640000000,H.265,1920,1080,100.362,0.020641,-1,-1,-1,15.5402,40.9075,2,2026-08-04 17:57:03
1920x1080,168,6680000000,H.265,1920,1080,92.6828,0.019937,-1,-1,-1,15.0712,34.1441,2,2026-08-04 17:57:03
1920x1080,169,6720000000,H.265,1920,1080,96.8299,0.020929,-1,-1,-1,17.0642,45.1622,2,2026-08-04 17:57:03
1920x1080,170,6760000000,H.265,1920,1080,98.0596,0.024225,-1,-1,-1,15.9193,39.15,2,2026-08-04 17:57:03
1920x1080,171,6800000000,H.265,1920,1080,93.9481,0.021536,-1,-1,-1,11.4514,39.1602,2,2026-08-04 17:57:03
1920x1080,172,6840000000,H.265,1920,1080,95.6279,0.044353,-1,-1,-1,16.2193,40.2428,2,2026-08-04 17:57:03
1920x1080,173,6880000000,H.265,1920,1080,101.847,0.038017,-1,-1,-1,15.2633,43.7117,2,2026-08-04 17:57:03
1920x1080,174,6920000000,H.265,1920,1080,96.4033,0.015361,-1,-1,-1,17.3069,36.3351,2,2026-08-04 17:57:04
1920x1080,175,6960000000,H.265,1920,1080,95.266,0.019969,-1,-1,-1,15.743,40.9409,2,2026-08-04 17:57:04
1920x1080,176,7000000000,H.265,1920,1080,98.142,0.022337,-1,-1,-1,16.018,40.5069,2,2026-08-04 17:57:04
1920x1080,177,7040000000,H.265,1920,1080,94.312,0.021792,-1,-1,-1,17.6936,36.6905,2,2026-08-04 17:57:04
1920x1080,178,7080000000,H.265,1920,1080,97.829,0.022145,-1,-1,-1,15.1431,43.4961,2,2026-08-04 17:57:04
1920x1080,179,7120000000,H.265,1920,1080,96.9989,0.015776,-1,-1,-1,15.4098,37.8805,2,2026-08-04 17:57:04
1920x1080,180,7160000000,H.265,1920,1080,96.1161,0.013984,-1,-1,-1,15.6128,40.6136,2,2026-08-04 17:57:04
1920x1080,181,7200000000,H.265,1920,1080,130.52,0.09021,-1,-1,-1,18.6725,73.1023,2,2026-08-04 17:57:04
1920x1080,182,7240000000,H.265,1920,1080,123.143,0.013057,-1,-1,-1,15.4685,32.9868,3,2026-08-04 17:57:04
1920x1080,183,7280000000,H.265,1920,1080,76.6519,0.013057,-1,-1,-1,18.2227,25.2209,2,2026-08-04 17:57:04
1920x1080,184,7320000000,H.265,1920,1080,96.3501,0.023009,-1,-1,-1,15.7605,50.4777,2,2026-08-04 17:57:04
1920x1080,185,7360000000,H.265,1920,1080,104.82,0.020641,-1,-1,-1,13.7742,25.2933,2,2026-08-04 17:57:04
1920x1080,186,7400000000,H.265,1920,1080,95.8664,0.01472,-1,-1,-1,15.5506,33.7734,2,2026-08-04 17:57:04
1920x1080,187,7440000000,H.265,1920,1080,98.284,0.028129,-1,-1,-1,15.4092,39.8488,2,2026-08-04 17:57:04
1920x1080,188,7480000000,H.265,1920,1080,96.9042,0.022273,-1,-1,-1,16.0661,39.2211,2,2026-08-04 17:57:04
1920x1080,189,7520000000,H.265,1920,1080,98.2986,0.015808,-1,-1,-1,16.8889,41.0794,2,2026-08-04 17:57:04
1920x1080,190,7560000000,H.265,1920,1080,98.1882,0.026112,-1,-1,-1,15.4951,39.0497,2,2026-08-04 17:57:04
1920x1080,191,7600000000,H.265,1920,1080,98.3089,0.023681,-1,-1,-1,11.6629,41.1728,2,2026-08-04 17:57:04
1920x1080,192,7640000000,H.265,1920,1080,100.932,0.023585,-1,-1,-1,15.9563,41.5322,2,2026-08-04 17:57:04
1920x1080,193,7680000000,H.265,1920,1080,98.8322,0.021057,-1,-1,-1,15.0792,39.3768,2,2026-08-04 17:57:04
1920x1080,194,7720000000,H.265,1920,1080,95.4542,0.01392,-1,-1,-1,17.1084,38.0259,2,2026-08-04 17:57:04
1920x1080,195,7760000000,H.265,1920,1080,100.236,0.015072,-1,-1,-1,15.5265,44.4092,2,2026-08-04 17:57:04
1920x1080,196,7800000000,H.265,1920,1080,98.0977,0.024832,-1,-1,-1,14.9462,35.687,2,2026-08-04 17:57:04
1920x1080,197,7840000000,H.265,1920,1080,96.3968,0.024737,-1,-1,-1,15.674,41.1804,2,2026-08-04 17:57:04
1920x1080,198,7880000000,H.265,1920,1080,97.6727,0.021793,-1,-1,-1,15.9276,38.8795,2,2026-08-04 17:57:04
1920x1080,199,7920000000,H.265,1920,1080,96.4163,0.015456,-1,-1,-1,17.1097,41.1816,2,2026-08-04 17:57:05
1920x1080,200,7960000000,H.265,1920,1080,98.1892,0.021344,-1,-1,-1,15.5165,39.0035,2,2026-08-04 17:57:05
1920x1080,201,8000000000,H.265,1920,1080,96.4604,0.018529,-1,-1,-1,18.4586,41.9504,2,2026-08-04 17:57:05
